instance,prep,geo-feature,placename,sum,or,'label exp1','label exp 2','label exp 3','label exp 4'
' around  per cent adult brighton instanc',of,0,2,2,1,0,0,0,0
'  per cent adult brighton instanc saw',in,0,2,2,1,2,1,1,0
' cent adult brighton instanc saw london even',for,0,2,2,1,0,0,0,0
'  per cent adult brighton instanc saw',in,0,2,2,1,0,0,0,0
' around  cent adult brighton',per,0,2,2,1,0,0,0,0
'  per cent adult brighton instanc saw',in,0,2,2,1,0,0,0,0
' arriv studio eight',at,1,0,1,1,2,1,1,0
' arriv studio eight',at,1,0,1,1,0,0,0,0
' morn boult saw finch stagger set drunk',about,1,0,1,1,1,1,0,1
' make tuscani region unend delight the inform',of,1,1,2,1,0,0,0,0
' josef glacier dwarf visitor foreground',in,1,0,1,1,2,1,1,0
'  rw ware seamus trudg battlefield four leaf clover',toward,1,1,2,1,1,1,0,1
' artwork arthur rackham',by,0,0,0,0,0,0,0,0
' artwork imag courtesi andrew dunn via wikimedia common',of,0,0,0,0,0,0,0,0
' imag courtesi andrew dunn wikimedia common use',via,0,0,0,0,0,0,0,0
' via wikimedia common use creativ common attribut share',under,0,0,0,0,0,0,0,0
' arti sit bed hair shine',in,0,0,0,0,1,1,0,1
' bed hair shine liber applic someth',from,0,0,0,0,0,0,0,0
' shine a liber applic someth look smell',of,0,0,0,0,0,0,0,0
' someth look smell perfum vaselin came',like,0,0,0,0,0,0,0,0
' bed hair shine liber applic someth',from,0,0,0,0,0,0,0,0
' child roam freeli',As,1,0,1,1,0,0,0,0
' child roam freeli countri lane knew',along,1,0,1,1,2,1,1,0
' lane knew wild flower name smell the',by,1,0,1,1,0,0,0,0
' smell the bird dialect',in,1,0,1,1,0,0,0,0
' result that incid',As,0,0,0,0,0,0,0,0
' as result incid were',of,0,0,0,0,0,0,0,0
' as result incid were',of,0,0,0,0,0,0,0,0
' a number complaint member the public',by,0,0,0,0,0,0,0,0
' as result incid were',of,0,0,0,0,0,0,0,0
' member public the conduct some',about,0,0,0,0,0,0,0,0
' as result incid were',of,0,0,0,0,0,0,0,0
' as result incid were',of,0,0,0,0,0,0,0,0
' british women children continu',As,2,1,3,1,0,0,0,0
' children continu fli gulf the oxford',out,2,1,3,1,2,1,1,0
' children continu fli gulf the oxford base',of,2,1,3,1,2,1,1,0
' children continu fli gulf the oxford base',of,2,1,3,1,0,0,0,0
' foreign nation ve left',behind,2,1,3,1,2,1,1,0
' as everi student know affair lectur as much',with,1,0,1,1,0,0,0,0
' much part univers life as examin nerv',of,1,0,1,1,0,0,0,0
' everi student know affair',AS,1,0,1,1,0,0,0,0
' parti late night deliber romant poet',on,1,0,1,1,0,0,0,0
' far lazi sunni day',As,1,0,1,1,0,0,0,0
' reflect indian vibe anyth els that',than,1,0,1,1,0,0,0,0
' you see everywher countri the citi',from,1,0,1,1,2,1,1,0
' approach citi',As,1,0,1,1,0,0,0,0
' as approach citi freeway same old',on,1,0,1,1,2,1,1,0
' old restless excit stir that felt',in,1,0,1,1,0,0,0,0
' restless excit stir him felt that first',that,1,0,1,1,0,0,0,0
' as approach citi freeway same old',on,1,0,1,1,0,0,0,0
' apocalypt even those year',ago,1,0,1,1,0,0,0,0
' climb her bedroom',As,0,0,0,0,0,0,0,0
' as climb bedroom window would',through,0,0,0,0,1,1,0,1
' stair slam door sanguinari hand',on,0,0,0,0,1,1,0,1
' move start dous',As,0,0,0,0,0,0,0,0
' dous flame ashley fled small whitewash bedroom',into,0,0,0,0,1,1,0,1
' small whitewash bedroom the other side the',on,0,0,0,0,1,1,0,1
' bedroom side the hall',of,0,0,0,0,1,1,0,1
' stare the torment',As,0,0,0,0,0,0,0,0
' as stare torment furi despair',at,0,0,0,0,0,0,0,0
' torment furi despair face knew',in,0,0,0,0,1,1,0,1
' her face knew clare would forgiv',that,0,0,0,0,0,0,0,0
' manicur finger play',As,0,0,0,0,0,0,0,0
' as manicur finger play gold medallion around',with,0,0,0,0,0,0,0,0
' play the gold medallion neck look',around,0,0,0,0,1,1,0,1
' they do',As,0,0,0,0,0,0,0,0
' as were a bizarr',if,0,0,0,0,0,0,0,0
' a bizarr danc follow marx herr nordern back',by,0,0,0,0,0,0,0,0
' marx herr nordern back tini vestibul the',through,0,0,0,0,1,1,0,1
' back tini vestibul the sit room a',into,0,0,0,0,1,1,0,1
' a silent apprehens circl nordern',of,0,0,0,0,0,0,0,0
' biblic time king',As,1,0,1,1,0,0,0,0
' as biblic time king becam',in,1,0,1,1,0,0,0,0
' anoint one onli approb the church',with,1,0,1,1,0,0,0,0
' onli approb the church',of,1,0,1,1,0,0,0,0
' drew away the',As,0,0,0,0,0,0,0,0
' as drew away communist ilp leadership',from,0,0,0,0,0,0,0,0
' also critic popular front inclus non socialist',for,0,0,0,0,0,0,0,0
' popular front it inclus non socialist',of,0,0,0,0,0,0,0,0
' happen brother knew',As,0,0,0,0,0,0,0,0
' brother knew lead professor testicular cancer dr janet',in,0,0,0,0,0,0,0,0
' turn the possess',As,0,1,1,1,0,0,0,0
' turn the possess colston bassett follow special',of,0,1,1,1,0,0,0,0
' bassett follow special remaind earl his',for,0,1,1,1,0,0,0,0
' special remaind the earl will date nd june',by,0,1,1,1,0,0,0,0
' left his freehold estat trust his son william',in,0,1,1,1,0,0,0,0
' bassett follow special remaind earl his',for,0,1,1,1,0,0,0,0
' turn the possess colston bassett follow special',of,0,1,1,1,0,0,0,0
' use be there',As,3,2,5,1,0,0,0,0
' round singapor railway station video see',in,3,2,5,1,0,0,0,0
' see map show locat singapor old railway station',of,3,2,5,1,2,1,1,0
' i was cheap',As,0,0,0,0,0,0,0,0
' i was cheap price',at,0,0,0,0,0,0,0,0
' was situat upon',As,3,0,3,1,0,0,0,0
' as was situat promontori mound',upon,3,0,3,1,2,1,1,0
' was situat upon',As,3,0,3,1,0,0,0,0
' was situat upon',As,3,0,3,1,0,0,0,0
' hall as matter fact fletcher gate at',of,3,0,3,1,0,0,0,0
' fact fletcher gate one time call mont hall',at,3,0,3,1,0,0,0,0
' long the hole remain',As,0,0,0,0,0,0,0,0
' the hole remain clear debri a pipe',of,0,0,0,0,0,0,0,0
' hole remain clear debri pipe split air',if,0,0,0,0,0,0,0,0
' pipe split air leak system the hole',into,0,0,0,0,1,1,0,1
' air leak system the hole limit',through,0,0,0,0,1,1,0,1
' mess prevent accid turn a catastroph',from,0,0,0,0,0,0,0,0
' pipe split air leak system the hole',into,0,0,0,0,0,0,0,0
' michael look the man',As,0,1,1,1,0,0,0,0
' as michael look man sit opposit',at,0,1,1,1,1,1,0,1
' look the man sit fat ugli face grin',opposite,0,1,1,1,1,1,0,1
' fat ugli face grin cheshir cat he',like,0,1,1,1,0,0,0,0
' impuls smash fist teeth',into,0,1,1,1,1,1,0,1
' much he complain',As,0,0,0,0,0,0,0,0
' as much he complain to frolic the',about,0,0,0,0,0,0,0,0
' complain have frolic clich his life',through,0,0,0,0,0,0,0,0
' frolic the clich life is quit',of,0,0,0,0,0,0,0,0
' one might expect teacher',As,0,0,0,0,0,0,0,0
' as one might expect teacher latin eloqu soon becam',of,0,0,0,0,0,0,0,0
' plan militari rise commenc',As,1,1,2,1,0,0,0,0
' plan militari rise commenc spanish morocco the canari',in,1,1,2,1,2,1,1,0
' morocco the canari island  juli ',on,1,1,2,1,0,0,0,0
' began second birthday celebr photo call the',with,1,1,2,1,0,0,0,0
' celebr a photo call garden kensington palac',in,1,1,2,1,2,1,1,0
' photo call the garden kensington palac toddl curious',of,1,1,2,1,2,1,1,0
' kensington palac toddl curious tv crew',towards,1,1,2,1,1,1,0,1
' promis lott richard',As,1,2,3,1,0,0,0,0
' key the lake hous us the door mat',for,1,2,3,1,0,0,0,0
' lake hous us door mat prior',under,1,2,3,1,1,1,0,1
' key the lake hous us the door mat',for,1,2,3,1,2,1,1,0
' prior leav minnesota motor home',in,1,2,3,1,1,1,0,1
' rachel maddow recent report citi',As,3,0,3,1,0,0,0,0
' close school that happen field',if,3,0,3,1,0,0,0,0
' selwyn rummag around shed',As,1,0,1,1,0,0,0,0
' as selwyn rummag shed his tool',around,1,0,1,1,1,1,0,1
' selwyn rummag around shed tool barney summervill came',for,1,0,1,1,0,0,0,0
' tool barney summervill came the garag wipe',out,1,0,1,1,2,1,1,0
' tool barney summervill came the garag wipe hand',of,1,0,1,1,2,1,1,0
' garag wipe hand oili rag',on,1,0,1,1,1,1,0,1
' reveal writer sherwood',As,0,0,0,0,0,0,0,0
' decis limit type imag believ been',of,0,0,0,0,0,0,0,0
' suscept critic misread ',in,0,0,0,0,0,0,0,0
' talk key peopl',As,0,1,1,1,0,0,0,0
' peopl travel round britain preliminari fact find tour',on,0,1,1,1,0,0,0,0
' had big area ignor',of,0,1,1,1,0,0,0,0
' was about fourteen',As,0,0,0,0,0,0,0,0
' few dark red carnat but was',from,0,0,0,0,0,0,0,0
' was about fourteen',As,0,0,0,0,0,0,0,0
' soon cunobelino had',As,3,1,4,1,0,0,0,0
' soon cunobelino had',As,3,1,4,1,0,0,0,0
' establish as ruler tribe move capit',over,3,1,4,1,0,0,0,0
' establish new depot river coln',on,3,1,4,1,2,1,1,0
' soon he came',As,0,0,0,0,0,0,0,0
' as soon he came i made let',in,0,0,0,0,1,1,0,1
' made let look head i dab',at,0,0,0,0,1,1,0,1
' i dab dettol',on,0,0,0,0,1,1,0,1
' soon she arriv',As,1,0,1,1,0,0,0,0
' as soon arriv offic she went',at,1,0,1,1,1,1,0,1
' action proper begin poseidon',As,0,1,1,1,0,0,0,0
' white curtain round perimet auditorium',of,0,1,1,1,1,1,0,1
' bus swung slowli round',As,2,3,5,1,0,0,0,0
' round loxford green anna saw two immens remov van',that,2,3,5,1,0,0,0,0
' immens remov van park drive loxford old',in,2,3,5,1,2,1,1,0
' park the drive loxford old rectori',of,2,3,5,1,2,1,1,0
' defend unabl',As,0,0,0,0,0,0,0,0
' unabl rebut infer neglig were liabl',of,0,0,0,0,0,0,0,0
' first wash the',As,1,0,1,1,0,0,0,0
' as first wash day sway boat',of,1,0,1,1,0,0,0,0
' steve leapt and rush deck',on,1,0,1,1,1,1,0,1
' next day dawn cold',As,3,0,3,1,0,0,0,0
' amanda laid first stroke colour onto next canva',of,3,0,3,1,0,0,0,0
' first stroke colour next canva rush',onto,3,0,3,1,1,1,0,1
' colour onto next canva rush to work',before,3,0,3,1,0,0,0,0
' rush to work local supermarket in',in,3,0,3,1,2,1,1,0
' rush to work local supermarket in',in,3,0,3,1,2,1,1,0
' amanda laid first stroke colour onto next canva',of,3,0,3,1,2,1,1,0
' part town stuart walk local estat agent',into,3,0,3,1,2,1,1,0
' still empti art galleri sale',up,3,0,3,1,0,0,0,0
' still empti art galleri sale',for,3,0,3,1,0,0,0,0
' settler began arriv',As,3,3,6,1,0,0,0,0
' settler began arriv bathurst district the',in,3,3,6,1,2,1,1,0
' settler began arriv bathurst district the',in,3,3,6,1,0,0,0,0
' settler began arriv',As,3,3,6,1,0,0,0,0
' settler began arriv',As,3,3,6,1,2,1,1,0
' settler began arriv',As,3,3,6,1,2,1,1,0
' struggl progress came',As,0,0,0,0,0,0,0,0
' came see inadequaci term realiz',of,0,0,0,0,0,0,0,0
' the term realiz was constrict',that,0,0,0,0,0,0,0,0
' it too constrict mean gave rise',in,0,0,0,0,0,0,0,0
' sun dissolv the',As,3,0,3,1,0,0,0,0
' as sun dissolv west surreal pink',in,3,0,3,1,2,1,1,0
' surreal pink haze roll hollow the plateau',around,3,0,3,1,2,1,1,0
' haze roll around hollow plateau obscur',of,3,0,3,1,2,1,1,0
' north lap silent the corri',into,3,0,3,1,2,1,1,0
' war drag modigliani',As,0,0,0,0,0,0,0,0
' as war drag modigliani horror the',on,0,0,0,0,0,0,0,0
' drag modigliani horror wast life increas',at,0,0,0,0,0,0,0,0
' horror the wast life increas',of,0,0,0,0,0,0,0,0
' left confin',As,4,0,4,1,0,0,0,0
' as left confin citi start',of,4,0,4,1,2,1,1,0
' citi start the long straight empti road',on,4,0,4,1,2,1,1,0
' sun glow rubi red dark wood hill',behind,4,0,4,1,2,1,1,0
' were to ride',As,0,0,0,0,0,0,0,0
' as were ride someon hurri',about,0,0,0,0,0,0,0,0
' ride someon hurri hall',across,0,0,0,0,1,1,0,1
' thing i like',As,0,0,0,0,0,0,0,0
' as thing i you postpon leav',like,0,0,0,0,0,0,0,0
' to postpon leav bit',for,0,0,0,0,0,0,0,0
' arriv the end',As,0,0,0,0,0,0,0,0
' as arriv end the year',at,0,0,0,0,0,0,0,0
' arriv end the year is perhap',of,0,0,0,0,0,0,0,0
' as arriv end the year',at,0,0,0,0,0,0,0,0
' bent him',As,0,0,0,0,0,0,0,0
' as bent he open eye',over,0,0,0,0,1,1,0,1
' descend the dark',As,0,1,1,1,0,0,0,0
' as descend dark cuzco',through,0,1,1,1,2,1,1,0
' descend the dark cuzco an endless seri',into,0,1,1,1,2,1,1,0
' the dark cuzco endless seri switchback',on,0,1,1,1,0,0,0,0
' cuzco an endless seri switchback daughter ask',of,0,1,1,1,0,0,0,0
' cuzco an endless seri switchback daughter ask',of,0,1,1,1,0,0,0,0
' us sing song from own countri',for,0,1,1,1,0,0,0,0
' sing song her own countri',from,0,1,1,1,0,0,0,0
' have seen aung san',As,0,1,1,1,0,0,0,0
' san a great admir nehru in ',for,0,1,1,1,0,0,0,0
' great admir nehru  attend annual',in,0,1,1,1,0,0,0,0
' attend annual congress ramgarh regard communist',at,0,1,1,1,2,1,1,0
' annual congress ramgarh regard communist bourgeoi',by,0,1,1,1,0,0,0,0
' have seen aung san',As,0,1,1,1,0,0,0,0
' just remark bank charg',As,0,0,0,0,0,0,0,0
' remark bank charg interest bank loan',on,0,0,0,0,0,0,0,0
' stroll the high',As,1,1,2,1,0,0,0,0
' as stroll high path along',on,1,1,2,1,2,1,1,0
' stroll high path the edg the field',along,1,1,2,1,2,1,1,0
' high path along edg field dixi explain',of,1,1,2,1,2,1,1,0
' field dixi explain the man',about,1,1,2,1,0,0,0,0
' well public toilet',As,1,3,4,1,0,0,0,0
' europ longest champagn bar check for train',Before,1,3,4,1,0,0,0,0
' longest champagn bar befor check your train pari',in,1,3,4,1,0,0,0,0
' champagn bar befor check your train pari',for,1,3,4,1,0,0,0,0
' toast your journey europ longest champagn bar',at,1,3,4,1,2,1,1,0
' bar  metr long upper level underneath the',on,1,3,4,1,2,1,1,0
' on upper level magnific glass steel',underneath,1,3,4,1,2,1,1,0
' well the glorious woodland',As,3,0,3,1,0,0,0,0
' well the glorious woodland leigh wood can experi',at,3,0,3,1,2,1,1,0
' can experi grandeur clevedon court journey back',of,3,0,3,1,2,1,1,0
' clevedon court journey back time the iron age',in,3,0,3,1,0,0,0,0
' well the glorious woodland leigh wood can experi',at,3,0,3,1,2,1,1,0
' other strong person peopl',As,0,0,0,0,0,0,0,0
' as strong person peopl',with,0,0,0,0,0,0,0,0
' person peopl seldom neutral',about,0,0,0,0,0,0,0,0
' woodford note cost',As,0,0,0,0,0,0,0,0
' as woodford note cost everyth purchas can',of,0,0,0,0,0,0,0,0
' as woodford note cost everyth purchas can',of,0,0,0,0,0,0,0,0
' can see i',As,0,0,0,0,0,0,0,0
' can see i',As,0,0,0,0,0,0,0,0
' never as much difficulti come a conclus',in,0,0,0,0,0,0,0,0
' come a conclus piec softwar',about,0,0,0,0,0,0,0,0
' conclus ani piec softwar',of,0,0,0,0,0,0,0,0
' come the bottom',As,1,0,1,1,0,0,0,0
' come bottom the glen turn left',of,1,0,1,1,2,1,1,0
' cross wooden bridg stream',over,1,0,1,1,2,1,1,0
' got and pace restless room',across,0,0,0,0,1,1,0,1
' ascend mist new zealand',through,4,2,6,1,2,1,1,0
' ascend the mist new zealand tallest waterfal',of,4,2,6,1,2,1,1,0
' ascend mist new zealand',through,4,2,6,1,2,1,1,0
' take through alpin forest swing bridg up',across,4,2,6,1,2,1,1,0
' ash privi an improv were built ground',as,0,1,1,1,0,0,0,0
' improv they built ground level cement',above,0,1,1,1,1,1,0,1
' ground level cement bottom  ash',at,0,1,1,1,1,1,0,1
' bottom  ash thrown the front the',in,0,1,1,1,1,1,0,1
' ground level cement bottom  ash',at,0,1,1,1,1,1,0,1
' front the content withdrawn door the back',through,0,1,1,1,1,1,0,1
' ground level cement bottom  ash',at,0,1,1,1,1,1,0,1
' barn fifteenth centuri barn stone tile roof the tith',with,9,6,15,1,0,0,0,0
' tile roof the tith barn ashleworth a fifteenth centuri',at,9,6,15,1,2,1,1,0
' barn fifteenth centuri barn stone tile roof the tith',with,9,6,15,1,0,0,0,0
' roof  a distant view ashleworth tith barn gloucestershir',of,9,6,15,1,2,1,1,0
' view ashleworth tith barn gloucestershir the barn built',in,9,6,15,1,2,1,1,0
' gloucestershir the barn built  the canon',about,9,6,15,1,0,0,0,0
' barn built  canon st augustin',by,9,6,15,1,2,1,1,0
' roof  a distant view ashleworth tith barn gloucestershir',of,9,6,15,1,2,1,1,0
' asia  india europ land go china',by,0,5,5,1,0,0,0,0
' europ land go china mongolia veri',from,0,5,5,1,2,1,1,0
' mongolia veri easi well',as,0,5,5,1,0,0,0,0
' press writer alberto arc report tegucigalpa hondura adriana gomez',from,0,3,3,1,2,1,1,0
' press writer alberto arc report tegucigalpa hondura adriana gomez',from,0,3,3,1,2,1,1,0
'  redcross street stphilip',At,1,1,2,1,2,1,1,0
'  mile trail left',At,6,0,6,1,0,0,0,0
' counti park pass gate there',through,6,0,6,1,2,1,1,0
' was sign indic had left maricopa',that,6,0,6,1,0,0,0,0
' park system were state trust land',on,6,0,6,1,2,1,1,0
' desert pit stop',At,2,0,2,1,2,1,1,0
' at desert pit stop billion bird deborah stone',for,2,0,2,1,0,0,0,0
' stone discov eco villag geodes dome recycl art',of,2,0,2,1,2,1,1,0
' time the',At,2,0,2,1,0,0,0,0
' at same time vacant',about,2,0,2,1,0,0,0,0
' vacant plot west the school purchas',of,2,0,2,1,2,1,1,0
' the school purchas lea school extens',by,2,0,2,1,0,0,0,0
' school purchas lea school extens the land',for,2,0,2,1,0,0,0,0
' time the',At,2,0,2,1,0,0,0,0
' school purchas lea school extens the land',for,2,0,2,1,0,0,0,0
' brook dye work ashley grove',At,1,0,1,1,0,0,0,0
' figuer simpli cross platform',At,2,1,3,1,2,1,1,0
' figuer vilaf station  kilometr figuer town  ',from,2,1,3,1,2,1,1,0
' figuer simpli cross platform',At,2,1,3,1,0,0,0,0
'  arriv pari gare lyon  ',de,2,1,3,1,0,0,0,0
' figuer simpli cross platform',At,2,1,3,1,0,0,0,0
' first glanc precis',At,0,0,0,0,0,0,0,0
' precis long wind account restor alter embellish might',of,0,0,0,0,0,0,0,0
' alter embellish might indic mr frick employ limit discern',that,0,0,0,0,0,0,0,0
' mr frick employ limit discern choic purchas',in,0,0,0,0,0,0,0,0
' precis long wind account restor alter embellish might',of,0,0,0,0,0,0,0,0
' consecr the archbishop',At,0,1,1,1,0,0,0,0
' at consecr archbishop york',by,0,1,1,1,0,0,0,0
' consecr the archbishop york disput broke',of,0,1,1,1,0,0,0,0
' york disput broke his titl  he',about,0,1,1,1,0,0,0,0
' he be consecr metropolitan as primat',as,0,1,1,1,0,0,0,0
' he be consecr metropolitan as primat',as,0,1,1,1,0,0,0,0
' side snodgrass caper',At,0,0,0,0,1,1,0,1
' side snodgrass caper occasion leap nimbl a',along,0,0,0,0,1,1,0,1
' caper along occasion leap nimbl patch undergrowth one',over,0,0,0,0,1,1,0,1
' leap nimbl a patch undergrowth one hand hold',of,0,0,0,0,2,1,1,0
' one hand hold hat head cloak fli',on,0,0,0,0,1,1,0,1
' head cloak fli ankl keep pace',about,0,0,0,0,1,1,0,1
' ankl keep pace floy',with,0,0,0,0,1,1,0,1
' last lone figur stagger',At,0,0,0,0,0,0,0,0
' figur stagger sing raucous swagger a drunken',as,0,0,0,0,0,0,0,0
' sing raucous he swagger drunken stupor',in,0,0,0,0,0,0,0,0
' least five polar bear',At,1,1,2,1,0,0,0,0
' bear spot last month prudho bay endicott',in,1,1,2,1,2,1,1,0
' least two live jackson',At,0,0,0,0,0,0,0,0
' at least two live jackson pollock also',of,0,0,0,0,0,0,0,0
' jackson pollock also work is anoth',in,0,0,0,0,0,0,0,0
' also the work anoth script the',as,0,0,0,0,0,0,0,0
' work is anoth script collector joseph duveen',about,0,0,0,0,0,0,0,0
' littleborough canal run',At,3,1,4,1,2,1,1,0
' at littleborough canal run culvert a road',through,3,1,4,1,2,1,1,0
' canal run culvert a road this',under,3,1,4,1,2,1,1,0
' culvert a road is current terminus',so,3,1,4,1,0,0,0,0
' mile  slide rock',At,3,2,5,1,2,1,1,0
' rock arch enorm piec navajo sandston fell',of,3,2,5,1,2,1,1,0
' navajo sandston fell cliff and land',from,3,2,5,1,2,1,1,0
' fell the cliff land the river',above,3,2,5,1,2,1,1,0
' cliff and land river bed creat',in,3,2,5,1,2,1,1,0
' mile  came',At,3,0,3,1,2,1,1,0
' came our first landmark map slide rock arch',on,3,0,3,1,0,0,0,0
' map slide rock arch bill call slid rock',as,3,0,3,1,0,0,0,0
' call slid rock arch him look',because,3,0,3,1,0,0,0,0
' map slide rock arch bill call slid rock',as,3,0,3,1,0,0,0,0
' him look the rock alreadi slid',though,3,0,3,1,0,0,0,0
' rock alreadi slid',down,3,0,3,1,2,1,1,0
' nice he heard',At,0,0,0,0,2,1,1,0
' heard devast news portugues friend artist',that,0,0,0,0,0,0,0,0
' portugues friend artist amedeo sousa cardoso die',de,0,0,0,0,0,0,0,0
' de sousa cardoso die spanish flu broke',of,0,0,0,0,0,0,0,0
' broke and sob child',like,0,0,0,0,0,0,0,0
' time either zacco',At,0,0,0,0,0,0,0,0
' either seek be alon or utter word',with,0,0,0,0,0,0,0,0
' or utter word reproach his failur',of,0,0,0,0,0,0,0,0
' utter word reproach failur famagusta',about,0,0,0,0,0,0,0,0
' either seek be alon or utter word',with,0,0,0,0,0,0,0,0
' one end the kitchen',At,3,0,3,1,2,1,1,0
' at one end kitchen garden broad',of,3,0,3,1,2,1,1,0
' at one end kitchen garden broad',of,3,0,3,1,0,0,0,0
' broad high wall stone carriag entranc just',with,3,0,3,1,0,0,0,0
' one time averag person',At,0,0,0,0,0,0,0,0
' averag person could harvest sack wheat',around,0,0,0,0,0,0,0,0
' could harvest around sack wheat day',of,0,0,0,0,0,0,0,0
' time was scorn',At,0,0,0,0,0,0,0,0
' time was scorn anhimsa non violenc he',of,0,0,0,0,0,0,0,0
' criticis gandhi nehru philosophem inclin philosoph concept',as,0,0,0,0,0,0,0,0
' present howev are still',At,0,0,0,0,0,0,0,0
' present howev are still',At,0,0,0,0,0,0,0,0
' still essenti the stage identifi differ approach the',of,0,0,0,0,0,0,0,0
' still essenti the stage identifi differ approach the',of,0,0,0,0,0,0,0,0
' scroobi the northern part',At,2,1,3,1,2,1,1,0
' at scroobi northern part the',in,2,1,3,1,2,1,1,0
' scroobi northern part counti form the',of,2,1,3,1,2,1,1,0
' at scroobi northern part the',in,2,1,3,1,2,1,1,0
' scroobi northern part counti form the',of,2,1,3,1,2,1,1,0
' scroobi northern part counti form the',of,2,1,3,1,0,0,0,0
' ten clock one morn',At,0,0,0,0,0,0,0,0
' clock one morn one cat leapt my',of,0,0,0,0,0,0,0,0
' one cat leapt my face',on,0,0,0,0,1,1,0,1
' moment dexter swagger',At,0,0,0,0,0,0,0,0
' moment dexter swagger the constabl find',behind,0,0,0,0,1,1,0,1
' age ',At,0,2,2,1,0,0,0,0
' at age  travel the',of,0,2,2,1,0,0,0,0
' age  travel far east went',through,0,2,2,1,2,1,1,0
' went australia work sheep station',on,0,2,2,1,2,1,1,0
' age seventi five',At,2,2,4,1,0,0,0,0
' at age seventi five has',of,2,2,4,1,0,0,0,0
' five has wade sea mud',through,2,2,4,1,2,1,1,0
' at age seventi five has',of,2,2,4,1,0,0,0,0
' age seventi five',At,2,2,4,1,2,1,1,0
' council home cinderford gloucestershir',in,2,2,4,1,2,1,1,0
' eastern end the',At,3,3,6,1,2,1,1,0
' at eastern end parish is',of,3,3,6,1,2,1,1,0
' at eastern end parish is',of,3,3,6,1,2,1,1,0
' end the field',At,4,1,5,1,2,1,1,0
' at end field go gate',of,4,1,5,1,2,1,1,0
' end the field go gate the power line',through,4,1,5,1,2,1,1,0
' field go gate power line bear',under,4,1,5,1,2,1,1,0
' power line bear right small wood follow',towards,4,1,5,1,2,1,1,0
' edg keep right the wood then',alongside,4,1,5,1,2,1,1,0
' alongsid wood then singl style a',over,4,1,5,1,2,1,1,0
' singl style a track cotmoor',up,4,1,5,1,2,1,1,0
' end the play',At,0,0,0,0,0,0,0,0
' at end play had declar',of,0,0,0,0,0,0,0,0
' end this field',At,1,0,1,1,2,1,1,0
' at end field bridleway cross',of,1,0,1,1,2,1,1,0
' field bridleway cross hedg that',between,1,0,1,1,2,1,1,0
' bridleway cross the hedg the hedg now',so,1,0,1,1,0,0,0,0
' cross the hedg the hedg now',that,1,0,1,1,0,0,0,0
' the hedg now right',on,1,0,1,1,2,1,1,0
' foothil the magnific',At,4,0,4,1,2,1,1,0
' at foothil magnific central northern berg',of,4,0,4,1,2,1,1,0
' farm style countri retreat set  hectar wood countrysid',in,4,0,4,1,2,1,1,0
' at foothil magnific central northern berg',of,4,0,4,1,2,1,1,0
' irv plaza gaggl',At,1,0,1,1,2,1,1,0
' irv plaza gaggl girl wander around conduct',of,1,0,1,1,0,0,0,0
' gaggl girl wander conduct poll',around,1,0,1,1,2,1,1,0
' last cross sixth',At,5,0,5,1,2,1,1,0
' last cross sixth trailhead dutchman trail',from,5,0,5,1,2,1,1,0
' hard right parallel creek  yard then',for,5,0,5,1,0,0,0,0
' moment are unabl',At,0,0,0,0,0,0,0,0
' are unabl predict accuraci will will',with,0,0,0,0,0,0,0,0
' the nag head main',At,2,1,3,1,2,1,1,0
' head main street divid shelt hill lowdham lane',into,2,1,3,1,2,1,1,0
' road cross direct',At,1,0,1,1,2,1,1,0
' at road cross direct take path',over,1,0,1,1,2,1,1,0
' path your left a bench',near,1,0,1,1,2,1,1,0
' road turn right walk',At,2,0,2,1,2,1,1,0
' metr take track left past heath barn',on,2,0,2,1,2,1,1,0
' same time is',At,0,0,0,0,0,0,0,0
' time is argu abil law',that,0,0,0,0,0,0,0,0
' argu the abil law order social',of,0,0,0,0,0,0,0,0
' same time defend',At,0,0,0,0,0,0,0,0
' punch aim use arm support strike behind',as,0,0,0,0,0,0,0,0
' a support strike attack kneecap',behind,0,0,0,0,1,1,0,1
' behind attack kneecap foot',with,0,0,0,0,0,0,0,0
' station small wooden',At,3,0,3,1,2,1,1,0
' agenc a small check desk the train',in,3,0,3,1,0,0,0,0
' small check desk train',for,3,0,3,1,0,0,0,0
' time peter suppos',At,0,0,0,0,0,0,0,0
' was either connoisseur funer a casual visitor',of,0,0,0,0,0,0,0,0
' casual visitor find the middl the funer',in,0,0,0,0,0,0,0,0
' was either connoisseur funer a casual visitor',of,0,0,0,0,0,0,0,0
' the funer stay was embarrass',because,0,0,0,0,0,0,0,0
' time bet landscap',At,0,1,1,1,0,0,0,0
' time bet landscap australia about chang',in,0,1,1,1,2,1,1,0
' bet landscap australia to chang ever',about,0,1,1,1,0,0,0,0
' australia about chang ever',for,0,1,1,1,0,0,0,0
' time first met',At,0,0,0,0,0,0,0,0
' met his limit confid had further undermin',in,0,0,0,0,0,0,0,0
' had further undermin june braithwait deris',by,0,0,0,0,0,0,0,0
' june braithwait deris way go',of,0,0,0,0,0,0,0,0
' june braithwait deris way go',of,0,0,0,0,0,0,0,0
' his way go',on,0,0,0,0,0,0,0,0
' top the slope',At,1,0,1,1,2,1,1,0
' at top slope turn left alongsid',of,1,0,1,1,2,1,1,0
' slope turn left the fenc',alongside,1,0,1,1,2,1,1,0
' top path bend',At,0,0,0,0,2,1,1,0
